problem_id,answer
Problem_1,1013
Problem_2,4
Problem_3,51
Problem_4,1010
Problem_5,100
Problem_6,104
Problem_7,1
Problem_8,B
Problem_9,3
Problem_10,1
Problem_11,2
Problem_12,28
Problem_13,17
Problem_14,3
Problem_15,"0, 9"
Problem_16,33300
Problem_17,NA
Problem_18,NA
Problem_19,NA
Problem_20,NA
Problem_21,NA
Problem_22,NA
Problem_23,NA
Problem_24,NA
Problem_25,NA
Problem_26,NA
Problem_27,NA
Problem_28,7
Problem_29,2
Problem_30,20050
Problem_31,999998
Problem_32,11
Problem_33,11
Problem_34,0
Problem_35,156
Problem_36,2
Problem_37,1
Problem_38,3
Problem_39,128
Problem_40,110
Problem_41,231
Problem_42,4009
Problem_43,1003
Problem_44,NA
Problem_45,NA
Problem_46,NA
Problem_47,NA
Problem_48,NA
Problem_49,NA
Problem_50,NA
Problem_51,NA
Problem_52,NA
Problem_53,NA
Problem_54,NA
Problem_55,39
Problem_56,137
Problem_57,100
Problem_58,2
Problem_59,10-Mar
Problem_60,1
Problem_61,1
Problem_62,0
Problem_63,2
Problem_64,2
Problem_65,2
Problem_66,"a \in (-\frac{1}{2}, 0) \cup (1, \infty)"
Problem_67,-12
Problem_68,1620
Problem_69,1
Problem_70,101
Problem_71,NA
Problem_72,NA
Problem_73,NA
Problem_74,NA
Problem_75,NA
Problem_76,NA
Problem_77,NA
Problem_78,NA
Problem_79,NA
Problem_80,NA
Problem_81,NA
Problem_82,-1
Problem_83,0
Problem_84,1
Problem_85,36
Problem_86,1
Problem_87,\frac{\sqrt{3}\pi}{2}
Problem_88,01-Feb
Problem_89,1
Problem_90,105
Problem_91,4 divide by sqrt{2}
Problem_92,\frac{3\sqrt{10}}{20}
Problem_93,4\sqrt{3}
Problem_94,155
Problem_95,30
Problem_96,19800
Problem_97,\sqrt{2}
Problem_98,NA
Problem_99,NA
Problem_100,NA
Problem_101,NA
Problem_102,NA
Problem_103,NA
Problem_104,NA
Problem_105,NA
Problem_106,NA
Problem_107,NA
Problem_108,NA
Problem_109,2
Problem_110,\frac{\sqrt{3}}{2}
Problem_111,1
Problem_112,137
Problem_113,4047
Problem_114,0.414
Problem_115,30
Problem_116,255
Problem_117,0
Problem_118,1
Problem_119,25
Problem_120,100
Problem_121,52
Problem_122,1012
Problem_123,170
Problem_124,C
Problem_125,NA
Problem_126,NA
Problem_127,NA
Problem_128,NA
Problem_129,NA
Problem_130,NA
Problem_131,NA
Problem_132,NA
Problem_133,NA
Problem_134,NA
Problem_135,NA
Problem_136,66
Problem_137,1445
Problem_138,6720
Problem_139,18
Problem_140,1024
Problem_141,150
Problem_142,10
Problem_143,192
Problem_144,15
Problem_145,4
Problem_146,6
Problem_147,1296
Problem_148,2500
Problem_149,C
Problem_150,B
Problem_151,C
Problem_152,NA
Problem_153,NA
Problem_154,NA
Problem_155,NA
Problem_156,NA
Problem_157,NA
Problem_158,NA
Problem_159,NA
Problem_160,NA
Problem_161,NA
Problem_162,NA
Problem_163,C
Problem_164,A
Problem_165,B
Problem_166,C
Problem_167,B
Problem_168,D
Problem_169,A
Problem_170,D
Problem_171,A
Problem_172,A
Problem_173,A
Problem_174,D
Problem_175,B
Problem_176,B
Problem_177,B
Problem_178,C
Problem_179,NA
Problem_180,NA
Problem_181,NA
Problem_182,NA
Problem_183,NA
Problem_184,NA
Problem_185,NA
Problem_186,NA
Problem_187,NA
Problem_188,NA
Problem_189,NA
Problem_190,D
Problem_191,D
Problem_192,D
Problem_193,B
Problem_194,x=1.2 and x=-0.3
Problem_195,A
Problem_196,A
Problem_197,B
Problem_198,B
Problem_199,B
Problem_200,"B, F"
Problem_201,IV
Problem_202,C
Problem_203,C
Problem_204,D
Problem_205,D
Problem_206,NA
Problem_207,NA
Problem_208,NA
Problem_209,NA
Problem_210,NA
Problem_211,NA
Problem_212,NA
Problem_213,NA
Problem_214,NA
Problem_215,NA
Problem_216,NA
Problem_217,D
Problem_218,B
Problem_219,B
Problem_220,D
Problem_221,B
Problem_222,A
Problem_223,A
Problem_224,C
Problem_225,C
Problem_226,C
Problem_227,B
Problem_228,B
Problem_229,C
Problem_230,B
Problem_231,C
Problem_232,3
Problem_233,NA
Problem_234,NA
Problem_235,NA
Problem_236,NA
Problem_237,NA
Problem_238,NA
Problem_239,NA
Problem_240,NA
Problem_241,NA
Problem_242,NA
Problem_243,NA
Problem_244,C
Problem_245,B
Problem_246,B
Problem_247,D
Problem_248,B
Problem_249,C
Problem_250,B
Problem_251,B
Problem_252,A
Problem_253,A
Problem_254,A
Problem_255,B
Problem_256,A
Problem_257,C
Problem_258,B
Problem_259,C
Problem_260,NA
Problem_261,NA
Problem_262,NA
Problem_263,NA
Problem_264,NA
Problem_265,NA
Problem_266,NA
Problem_267,NA
Problem_268,NA
Problem_269,NA
Problem_270,D
Problem_271,B
Problem_272,B
Problem_273,B
Problem_274,C
Problem_275,A
Problem_276,D
Problem_277,B
Problem_278,A
Problem_279,C
Problem_280,A
Problem_281,C
Problem_282,B
Problem_283,C
Problem_284,\frac{2\pi}{21}
Problem_285,E
Problem_286,NA
Problem_287,NA
Problem_288,NA
Problem_289,NA
Problem_290,NA
Problem_291,NA
Problem_292,NA
Problem_293,NA
Problem_294,NA
Problem_295,NA
Problem_296,NA
Problem_297,"[0, 0, 0; 0, 0, 0; 0, 0, 0]"
Problem_298,1
Problem_299,-3
Problem_300,5
Problem_301,"[1, 0, 0; -2, 1, 0; 5, -4, 1]"
Problem_302,"[1,1]"
Problem_303,"[1,2]"
Problem_304,11
Problem_305,\begin{pmatrix} 10 & 4 & -2 \\ 4 & 10 & 4 \\ -2 & 4 & 10 \end{pmatrix}
Problem_306,"[1,1,2]"
Problem_307,4
Problem_308,3
Problem_309,1.62
Problem_310,90
Problem_311,7
Problem_312,x^2-7x+5
Problem_313,NA
Problem_314,NA
Problem_315,NA
Problem_316,NA
Problem_317,NA
