problem_id,answer,label,level
Problem_1,16,Algebra,high school competition
Problem_2,3906,Algebra,high school competition
Problem_3,66,Algebra,high school competition
Problem_4,101,Algebra,high school competition
Problem_5,235,Algebra,high school competition
Problem_6,16,Algebra,high school competition
Problem_7,100!,Algebra,high school competition
Problem_8,D,Algebra,high school competition
Problem_9,1,Algebra,high school competition
Problem_10,4,Algebra,high school competition
Problem_11,13,Algebra,high school competition
Problem_12,7,Algebra,high school competition
Problem_13,264,Algebra,high school competition
Problem_14,2,Algebra,high school competition
Problem_15,"1,9",Algebra,high school competition
Problem_16,35964,Algebra,high school competition
Problem_17,192,Algebra,high school competition
Problem_18,81,Algebra,high school competition
Problem_19,34,Algebra,high school competition
Problem_20,1989,Algebra,high school competition
Problem_21,"251,7",Algebra,high school competition
Problem_22,14,Algebra,high school competition
Problem_23,840,Algebra,high school competition
Problem_24,17160,Algebra,high school competition
Problem_25,127,Algebra,high school competition
Problem_26,C,Algebra,high school competition
Problem_27,31,Algebra,high school competition
Problem_28,10,Algebra,high school competition
Problem_29,6,Algebra,high school competition
Problem_30,52000,Algebra,high school competition
Problem_31,1111,Algebra,high school competition
Problem_32,76,Algebra,high school competition
Problem_33,7,Algebra,high school competition
Problem_34,1991,Algebra,high school competition
Problem_35,193,Algebra,high school competition
Problem_36,5,Algebra,high school competition
Problem_37,5,Algebra,high school competition
Problem_38,30,Algebra,high school competition
Problem_39,160,Algebra,high school competition
Problem_40,45,Algebra,high school competition
Problem_41,97104,Algebra,high school competition
Problem_42,90,Algebra,high school competition
Problem_43,154,Algebra,high school competition
Problem_44,3,Algebra,high school competition
Problem_45,2672002,NumberTheory,high school competition
Problem_46,8,NumberTheory,high school competition
Problem_47,4,NumberTheory,high school competition
Problem_48,48,Algebra,high school competition
Problem_49,0,Algebra,high school competition
Problem_50,31,Algebra,high school competition
Problem_51,1975,NumberTheory,high school competition
Problem_52,0,Algebra,high school competition
Problem_53,2,Algebra,high school competition
Problem_54,\frac{8}{3},Algebra,high school competition
Problem_55,35,Algebra,high school competition
Problem_56,14996,Algebra,high school competition
Problem_57,3333,Algebra,high school competition
Problem_58,2,Algebra,high school competition
Problem_59,\frac{\sqrt{2}}{2},Algebra,high school competition
Problem_60,3,Algebra,high school competition
Problem_61,1017073,Algebra,high school competition
Problem_62,4862,Algebra,high school competition
Problem_63,0,Algebra,high school competition
Problem_64,6,Algebra,high school competition
Problem_65,8,Algebra,high school competition
Problem_66,"(0,\frac{1}{2}) \cup (2,+\infty)",Algebra,high school competition
Problem_67,\sqrt{19},Algebra,high school competition
Problem_68,580,Algebra,high school competition
Problem_69,\frac{\sqrt{6}-\sqrt{2}}{2},Algebra,high school competition
Problem_70,12,Algebra,high school competition
Problem_71,20,Algebra,high school competition
Problem_72,401,Algebra,high school competition
Problem_73,2021,Algebra,high school competition
Problem_74,1,Algebra,high school competition
Problem_75,"\frac{\sqrt{2}}{2},-\frac{\sqrt{2}}{2}",Algebra,high school competition
Problem_76,13,Algebra,high school competition
Problem_77,194,Algebra,high school competition
Problem_78,7,Algebra,high school competition
Problem_79,3,Algebra,high school competition
Problem_80,\frac{869}{27},Algebra,high school competition
Problem_81,5+2 \sqrt{3},Algebra,high school competition
Problem_82,-1,Algebra,high school competition
Problem_83,12,Algebra,high school competition
Problem_84,144,Algebra,high school competition
Problem_85,1,Algebra,high school competition
Problem_86,\frac{4}{3},Algebra,high school competition
Problem_87,\frac{7}{10}\pi,Geometry,high school competition
Problem_88,\frac{\sqrt{2}}{3},Geometry,high school competition
Problem_89,-\frac{1}{4},Geometry,high school competition
Problem_90,120,Geometry,high school competition
Problem_91,4 divide by sqrt{2},Geometry,high school competition
Problem_92,\frac{4}{29} \sqrt{29},Geometry,high school competition
Problem_93,2 \sqrt{7},Geometry,high school competition
Problem_94,24,Geometry,high school competition
Problem_95,10,Geometry,high school competition
Problem_96,1600,Geometry,high school competition
Problem_97,\frac{\sqrt{15}}{3},Geometry,high school competition
Problem_98,20,Geometry,high school competition
Problem_99,90,Geometry,high school competition
Problem_100,\sqrt{15},Geometry,high school competition
Problem_101,\frac{8}{17},Geometry,high school competition
Problem_102,3,Geometry,high school competition
Problem_103,\frac{1}{2},Geometry,high school competition
Problem_104,\frac{\sqrt{30}}{12},Geometry,high school competition
Problem_105,\sqrt{3},Geometry,high school competition
Problem_106,\sqrt{23},Geometry,high school competition
Problem_107,13,Geometry,high school competition
Problem_108,32,Geometry,high school competition
Problem_109,2,Geometry,high school competition
Problem_110,\frac{\sqrt{6}}{3},Geometry,high school competition
Problem_111,1,Geometry,high school competition
Problem_112,\frac{3}{10},Combinatorics,high school competition
Problem_113,4045,Combinatorics,high school competition
Problem_114,\frac{13}{288},Combinatorics,high school competition
Problem_115,90,Combinatorics,high school competition
Problem_116,321,Combinatorics,high school competition
Problem_117,\frac{3}{17},Combinatorics,high school competition
Problem_118,101,Combinatorics,high school competition
Problem_119,1,Combinatorics,high school competition
Problem_120,51,Combinatorics,high school competition
Problem_121,112,Combinatorics,high school competition
Problem_122,511566,Combinatorics,high school competition
Problem_123,39,Combinatorics,high school competition
Problem_124,A,Combinatorics,high school competition
Problem_125,32,Combinatorics,high school competition
Problem_126,1010,Combinatorics,high school competition
Problem_127,\frac{40}{243},Combinatorics,high school competition
Problem_128,96,Combinatorics,high school competition
Problem_129,2,Combinatorics,high school competition
Problem_130,5832,Combinatorics,high school competition
Problem_131,A,Combinatorics,high school competition
Problem_132,B,Combinatorics,high school competition
Problem_133,22,Combinatorics,high school competition
Problem_134,512,Combinatorics,high school competition
Problem_135,2024,Combinatorics,high school competition
Problem_136,2^{22},Combinatorics,high school competition
Problem_137,2023,Combinatorics,high school competition
Problem_138,27568,Combinatorics,high school competition
Problem_139,869,Combinatorics,high school competition
Problem_140,342,Combinatorics,high school competition
Problem_141,91,Combinatorics,high school competition
Problem_142,980,Combinatorics,high school competition
Problem_143,5880,Combinatorics,high school competition
