problem_id,answer
Problem_1,1012
Problem_2,2
Problem_3,34
Problem_4,912
Problem_5,124
Problem_6,528
Problem_7,5050
Problem_8,B
Problem_9,6
Problem_10,3
Problem_11,13
Problem_12,5
Problem_13,2.71E+19
Problem_14,2
Problem_15,"7,1"
Problem_16,363570
Problem_17,194
Problem_18,18
Problem_19,120
Problem_20,0
Problem_21,"2,4"
Problem_22,14
Problem_23,0
Problem_24,6
Problem_25,2004
Problem_26,C
Problem_27,27
Problem_28,12
Problem_29,5
Problem_30,2050
Problem_31,577792
Problem_32,13
Problem_33,6
Problem_34,1991
Problem_35,96
Problem_36,4
Problem_37,6
Problem_38,78
Problem_39,594
Problem_40,595
Problem_41,1332
Problem_42,9
Problem_43,467
Problem_44,2
Problem_45,2002002
Problem_46,0
Problem_47,0
Problem_48,0
Problem_49,509
Problem_50,25
Problem_51,1977
Problem_52,2022
Problem_53,4
Problem_54,4
Problem_55,21
Problem_56,27
Problem_57,25
Problem_58,2
Problem_59,2
Problem_60,4
Problem_61,0
Problem_62,5040
Problem_63,105
Problem_64,20
Problem_65,4
Problem_66,"(3, +∞)"
Problem_67,2
Problem_68,144
Problem_69,\sqrt{2}
Problem_70,35
Problem_71,-15
Problem_72,12
Problem_73,2022
Problem_74,4
Problem_75,"\left(\frac{1}{2}\right), \left(-\frac{1}{2}\right)"
Problem_76,171
Problem_77,194
Problem_78,10
Problem_79,3
Problem_80,17
Problem_81,5
Problem_82,-3
Problem_83,14
Problem_84,-1
Problem_85,25
Problem_86,2
Problem_87,\frac{\pi}{2}
Problem_88,\frac{1}{3}
Problem_89,1
Problem_90,576
Problem_91,12
Problem_92,\frac{\sqrt{6}}{6}
Problem_93,4
Problem_94,24
Problem_95,30
Problem_96,4850
Problem_97,\sqrt{3}
Problem_98,17
Problem_99,60
Problem_100,8
Problem_101,\(\frac{4}{3}\sqrt{3}\)
Problem_102,6
Problem_103,\frac{14}{15}
Problem_104,$$\frac{\sqrt{3}}{4}$$
Problem_105,2
Problem_106,14
Problem_107,70
Problem_108,30
Problem_109,1
Problem_110,\(\frac{\sqrt{2}}{2}\)
Problem_111,-1
Problem_112,\frac{17}{34}
Problem_113,2022
Problem_114,0.5
Problem_115,720
Problem_116,1240
Problem_117,0
Problem_118,5000
Problem_119,44
Problem_120,51
Problem_121,52
Problem_122,1023
Problem_123,190
Problem_124,C
Problem_125,365
Problem_126,2018
Problem_127,0.3125
Problem_128,720
Problem_129,1
Problem_130,729
Problem_131,B
Problem_132,B
Problem_133,12
Problem_134,255
Problem_135,\frac{2^{2024}-1}{2^{2024}}
Problem_136,66
Problem_137,119
Problem_138,14580
Problem_139,0
Problem_140,1024
Problem_141,144
Problem_142,0
Problem_143,1440
Problem_144,50
Problem_145,15
Problem_146,25
Problem_147,2513
Problem_148,68
Problem_149,-55
Problem_150,B
Problem_151,C
Problem_152,A
Problem_153,D
Problem_154,A
Problem_155,A
Problem_156,C
Problem_157,-24
Problem_158,C
Problem_159,C
Problem_160,D
Problem_161,A
Problem_162,C
Problem_163,B
Problem_164,C
Problem_165,A
Problem_166,1
Problem_167,D
Problem_168,B
Problem_169,B
Problem_170,D
Problem_171,B
Problem_172,A
Problem_173,A
Problem_174,D
Problem_175,A
Problem_176,B
Problem_177,B
Problem_178,C
Problem_179,y=-5x-3
Problem_180,40
Problem_181,-2
Problem_182,-2
Problem_183,15
Problem_184,C
Problem_185,C
Problem_186,B
Problem_187,D
Problem_188,B
Problem_189,-C
Problem_190,A
Problem_191,D
Problem_192,D
Problem_193,B
Problem_194,A
Problem_195,C
Problem_196,A
Problem_197,D
Problem_198,B
Problem_199,C
Problem_200,"B, F"
Problem_201,\boxed{4}
Problem_202,A
Problem_203,C
Problem_204,D
Problem_205,D
Problem_206,B
Problem_207,A
Problem_208,D
Problem_209,D
Problem_210,A
Problem_211,C
Problem_212,"a) -3
b) 4"
Problem_213,10000
Problem_214,\boxed{10}
Problem_215,3
Problem_216,5
Problem_217,A
Problem_218,C
Problem_219,B
Problem_220,D
Problem_221,B
Problem_222,A
Problem_223,A
Problem_224,C
Problem_225,C
Problem_226,C
Problem_227,350
Problem_228,B
Problem_229,C
Problem_230,B
Problem_231,C
Problem_232,C
Problem_233,-3
Problem_234,B
Problem_235,C
Problem_236,D
Problem_237,"\frac{\pi}{2}, \frac{3\pi}{2}"
Problem_238,C
Problem_239,C
Problem_240,C
Problem_241,C
Problem_242,"x-int: -1, y-int: 3"
Problem_243,A
Problem_244,C
Problem_245,\log_3 \left(\frac{8}{125}\right)
Problem_246,B
Problem_247,D
Problem_248,B
Problem_249,C
Problem_250,"$\frac{\pi}{3}, \frac{2\pi}{3}$"
Problem_251,B
Problem_252,A
Problem_253,C
Problem_254,-90
Problem_255,B
Problem_256,175
Problem_257,B
Problem_258,B
Problem_259,B
Problem_260,C
Problem_261,-\frac{1}{7}
Problem_262,8
Problem_263,2 ln x+3 ln left(y^{2}-z\right)-\frac{1}{2} ln (y+1)
Problem_264,\log \left( \frac{(x-1)^2}{(x+4)^3} \cdot \sqrt[3]{125} \right)
Problem_265,01-Feb
Problem_266,2 x^{2}+x-3/2
Problem_267,3380
Problem_268,-0.111
Problem_269,B
Problem_270,C
Problem_271,B
Problem_272,B
Problem_273,B
Problem_274,C
Problem_275,A
Problem_276,D
Problem_277,\frac{34}{5}
Problem_278,D
Problem_279,D
Problem_280,A
Problem_281,C
Problem_282,B
Problem_283,C
Problem_284,E
Problem_285,E
Problem_286,E
Problem_287,y = 1 \pm \sqrt{C - \frac{1}{x^2}}
Problem_288,2
Problem_289,0
Problem_290,"[1,2,3]"
Problem_291,"[3, 2, 2; 2, 3, 2; 2, 2, 3]"
Problem_292,6
Problem_293,"[-1, 2]"
Problem_294,"[2, 0, 0; 0, 3, 0; 0, 0, 6]"
Problem_295,3
Problem_296,3
Problem_297,"[0, 0, 0; 0, 0, 0; 0, 0, 0]"
Problem_298,1
Problem_299,2
Problem_300,3
Problem_301,"[1, -2, 1; 0, 1, -2; 0, 0, 1]"
Problem_302,"[-2, 1]"
Problem_303,"[-3, -3]"
Problem_304,2
Problem_305,"[18, 6; 6, 18]"
Problem_306,"[3, 4, 10]"
Problem_307,27
Problem_308,9
Problem_309,1.62
Problem_310,2
Problem_311,4
Problem_312,f(x) = (x - 4)(x - 1)
Problem_313,-1
Problem_314,2
Problem_315,8
Problem_316,2
Problem_317,0
Problem_318,1
Problem_319,-6.25
Problem_320,1
Problem_321,1920
Problem_322,0
Problem_323,0
Problem_324,0.5
Problem_325,-0.5
Problem_326,\boxed{\frac{\pi}{4}}
Problem_327,1
Problem_328,"\boxed{2, 1}"
Problem_329,8
Problem_330,0.7854
Problem_331,\frac{\pi}{2\sqrt{2}}
Problem_332,\frac{3\pi}{4}
Problem_333,frac{pi}{2sqrt{2}}
Problem_334,\frac{e-1}{e}+\frac{\sqrt{\pi}}{2}\text{erf}(1)
Problem_335,4
Problem_336,1
Problem_337,2e
Problem_338,0.5*e^(-x) + 0.5
Problem_339,No
Problem_340,Yes
Problem_341,Yes
Problem_342,No
Problem_343,Yes
Problem_344,No
Problem_345,Yes
Problem_346,No
Problem_347,Yes
Problem_348,0
Problem_349,"[1, -1]"
Problem_350,4989600
Problem_351,0.26
Problem_352,26600
Problem_353,8
Problem_354,0.0588
Problem_355,0.7869
Problem_356,1.1111
Problem_357,4
Problem_358,0.75
Problem_359,60025
Problem_360,0.332
Problem_361,0.9999
Problem_362,frac{10e - 16}{e^2}
Problem_363,0.1353
Problem_364,1
Problem_365,0.75
Problem_366,0.5
Problem_367,0
Problem_368,frac{1}{N}
Problem_369,0
Problem_370,0.8
Problem_371,"[4.6, 2.1]"
Problem_372,0
Problem_373,2
Problem_374,0.0002
Problem_375,100.075
Problem_376,"107.78, 0.96, (106.64, 108.92)"
Problem_377,"(0.221, 0.279)"
Problem_378,"(-2.06, 1.06)"
Problem_379,"(25.6, 345.6)"
Problem_380,0.047 < 0.05
Problem_381,No
Problem_382,"2	heta^2/n"
Problem_383,\frac{1}{\theta^2}
Problem_384,1
Problem_385,No
Problem_386,\boxed{\frac{1}{\bar{X}}}
Problem_387,Yes
